Fecha; A�o ;Municipio;Paraje;Causa;Rasa;Arbolada; Total_(ha) ;X1;Y1;Latitud;Longitud
11/09/2016;2016;Alcora (l');Urbanización El Pantano;Rayo;0.025;0; <1 ;741822;4435758;40.03740314;-0.165678173
23/09/2016;2016;Castellón de la Plana/Castelló de la Plana;Bovalar;Rayo;0.002;0; <1 ;750980;4434055;40.01940562;-0.059129813
24/09/2016;2016;Borriol;Loma;Rayo;0;0.07; <1 ;746829;4434206;40.02198807;-0.107652951
14/05/2016;2016;Atzeneta del Maestrat;Vetalaire;Otras Causas;0;0.02; <1 ;739199;4458081;40.23902982;-0.188111771
29/05/2016;2016;Segorbe;Amara Alta;Negligencia;0.14;0; <1 ;714740;4414969;39.85760569;-0.48964492
08/07/2016;2016;Pina de Montalgrao;La Cañada;Rayo;0.003;0; <1 ;698768;4432563;40.01988456;-0.670843518
16/08/2016;2016;Vistabella del Maestrat;Font del Pi;Rayo;0;0; <1 ;734404;4462662;40.28160933;-0.242742434
14/09/2016;2016;Borriol;Pedra Felip;Rayo;0;0.003; <1 ;749394;4394000;39.65944586;-0.092941672
23/09/2016;2016;Alcalà de Xivert;Torre Ebrí;Rayo;0;0.005; <1 ;778792;4463345;40.27414162;0.278938673
23/09/2016;2016;Peníscola/Peñíscola;Font Nova;Rayo;0;0.007; <1 ;785439;4470850;40.33939968;0.360337049
23/09/2016;2016;Atzeneta del Maestrat;Mangranar;Rayo;0;1.5;1.5;736740;4455524;40.21671836;-0.217928271
23/09/2016;2016;Benafigos;Mas de Marín;Rayo;0;0.01; <1 ;737694;4464911;40.30091884;-0.203251239
08/10/2016;2016;Figueroles;Burgà;Rayo;0;0.15; <1 ;736884;4445271;40.12441201;-0.220007842
30/01/2016;2016;Benicarló;Riu Sec;Negligencia;0.01;0; <1 ;790695;4480694;40.42611446;0.426597745
18/04/2016;2016;Coves de Vinromà (les);Abocador;Intencionado;0;0.003; <1 ;766499;4467325;40.31395016;0.136223882
22/04/2016;2016;Cervera del Maestre;Euxadui;Rayo;0;0.005; <1 ;778969;4477547;40.40182177;0.287217481
21/06/2016;2016;Sant Jordi/San Jorge;Moles;Negligencia;0.02;0; <1 ;781202;4489560;40.50911571;0.318806038
10/08/2016;2016;Altura;Navajo del Fraile;Rayo;0.004;0; <1 ;703451;4405567;39.77574624;-0.624423184
14/09/2016;2016;Vilafamés;Bco. Centenar;Rayo;0.002;0; <1 ;746420;4444751;40.1169937;-0.108426982
23/09/2016;2016;Atzeneta del Maestrat;Les Rivals;Rayo;0;1.5;1.5;738375;4454041;40.20291007;-0.199285854
07/05/2017;2017;Alcora (l');Azud;Negligencia;0;0.007; <1 ;737222;4440735;40.08349735;-0.217710263
10/05/2017;2017;Torreblanca;Perchetes;Intencionado;1;0;1;772557;4454395;40.19568738;0.201919038
