Year;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;TOTAL_DEATHS
1874;Miyake-Jima;Izu Is-Japan;Japan;34.08;139.53;815;Stratovolcano;Historical;1
1874;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;
1875;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;
1875;Askja;Iceland-Ne;Iceland;65.03;-16.75;1516;Stratovolcano;Historical;
1877;Mauna Loa;Hawaiian Is;United States;19.475;-155.608;4170;Shield Volcano;Historical;
1877;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;340
1878;Yasur;Vanuatu-Sw Pacific;Vanuatu;-19.52;169.425;361;Stratovolcano;Historical;
1878;Rabaul;New Britain-Sw Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic Shield;Historical;1
1878;Yasur;Vanuatu-Sw Pacific;Vanuatu;-19.52;169.425;361;Stratovolcano;Historical;
1878;Okmok;Aleutian Is;United States;53.42;-168.13;1073;Shield Volcano;Historical;
1879;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;Historical;
1883;Karthala;Indian O-W;Comoros;-11.75;43.38;2361;Shield Volcano;Historical;
1883;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;Historical;36417
1883;Augustine;Alaska-Sw;United States;59.37;-153.42;1252;Lava Dome;Historical;8
1883;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;Historical;
1883;Bagana;Bougainville-Sw Paci;Papua New Guinea;-6.14;155.195;1750;Lava Cone;Historical;
1884;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;Historical;
1884;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;74
1885;Purace;Colombia;Colombia;2.32;-76.4;4650;Stratovolcano;Historical;
1886;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;2
1886;Okataina;New Zealand;New Zealand;-38.12;176.5;1111;Lava Dome;Historical;153
1886;Niuafo'Ou;Tonga-Sw Pacific;Tonga;-15.6;-175.63;260;Shield Volcano;Historical;
1887;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;15
1888;Ritter Island;New Guinea-Ne Of;Papua New Guinea;-5.52;148.121;140;Stratovolcano;Historical;
1888;Bandai;Honshu-Japan;Japan;37.6;140.08;1819;Stratovolcano;Historical;461
1889;Banua Wuhu;Sangihe Is-Indonesia;Indonesia;3.138;125.491;-5;Submarine Volcano;Historical;
1890;Makian;Halmahera-Indonesia;Indonesia;0.32;127.4;1357;Stratovolcano;Historical;
1890;Victory;New Guinea;Papua New Guinea;-9.2;149.07;1925;Stratovolcano;Historical;
1892;Sorikmarapi;Sumatra;Indonesia;0.686;99.539;2145;Stratovolcano;Historical;180
1892;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;Historical;1532
1893;Azuma;Honshu-Japan;Japan;37.73;140.25;2024;Stratovolcano;Historical;2
1894;Ambrym;Vanuatu-Sw Pacific;Vanuatu;-16.25;168.12;1334;Pyroclastic Shield;Historical;10
1895;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;
1895;Karkar;New Guinea-Ne Of;Papua New Guinea;-4.649;145.964;1839;Stratovolcano;Historical;21
1895;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield Volcano;Historical;4
1895;Dakataua;New Britain-Sw Pac;Papua New Guinea;-5.056;150.108;400;Caldera;Anthropology;
1896;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield Volcano;Historical;1
1897;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;350
1899;Dona Juana;Colombia;Colombia;1.47;-76.92;4150;Stratovolcano;Historical;55
1899;Manam;New Guinea-Ne Of;Papua New Guinea;-4.1;145.061;1807;Stratovolcano;Historical;2
1900;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;25
1900;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield Volcano;Historical;2
1900;Adatara;Honshu-Japan;Japan;37.62;140.28;1718;Stratovolcano;Historical;72
1900;Tullu Moje;Africa-Ne;Ethiopia;8.158;39.13;2349;Pumice Cone;Anthropology;
1901;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;
1901;Epi;Vanuatu-Sw Pacific;Vanuatu;-16.68;168.37;833;Stratovolcano;Historical;
1902;Pelee;W Indies;Martinique;14.82;-61.17;1397;Stratovolcano;Historical;23
1902;Soufriere St. Vincent;W Indies;St. Vincent & The Grenadines;13.33;-61.18;1220;Stratovolcano;Historical;1680
1902;Pelee;W Indies;Martinique;14.82;-61.17;1397;Stratovolcano;Historical;28000
1902;Pelee;W Indies;Martinique;14.82;-61.17;1397;Stratovolcano;Historical;
1902;Tori-Shima;Izu Is-Japan;Japan;30.48;140.32;403;Stratovolcano;Historical;125
1902;Pelee;W Indies;Martinique;14.82;-61.17;1397;Stratovolcano;Historical;1000
1902;Santa Maria;Guatemala;Guatemala;14.756;-91.552;3772;Stratovolcano;Historical;1500
1902;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;16
1903;Okataina;New Zealand;New Zealand;-38.12;176.5;1111;Lava Dome;Historical;4
1904;Karthala;Indian O-W;Comoros;-11.75;43.38;2361;Shield Volcano;Historical;1
1905;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;1
1905;Savai'I;Samoa-Sw Pacific;Samoa;-13.612;-172.525;1858;Shield Volcano;Historical;
1906;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;350
1907;Unnamed;Tonga-Sw Pacific;Tonga;-21.38;-175.65;-500;Submarine Volcano;Historical;
1907;Alayta;Africa-Ne;Ethiopia;12.88;40.57;1501;Shield Volcano;Historical;
1907;Lewotobi;Lesser Sunda Is;Indonesia;-8.53;122.775;1703;Stratovolcano;Historical;1
1907;Savai'I;Samoa-Sw Pacific;Samoa;-13.612;-172.525;1858;Shield Volcano;Historical;
1909;Cameroon, Mt.;Africa-W;Cameroon;4.203;9.17;4095;Stratovolcano;Historical;
1909;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;221
1910;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;Historical;1
1911;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;1335
1911;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;1
1911;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;
1911;Piparo;Trinidad;Trinidad;10;-61;140;Mud Volcano;Historical;
1911;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;
1912;Novarupta;Alaska Peninsula;United States;58.27;-155.16;841;Caldera;Historical;2
1912;Nyamuragira;Africa-C;Congo, Drc;-1.408;29.2;3058;Shield Volcano;Historical;20
1913;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;Historical;138
1913;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;
1913;Ambrym;Vanuatu-Sw Pacific;Vanuatu;-16.25;168.12;1334;Pyroclastic Shield;Historical;21
1914;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;63
1914;Pago;New Britain-Sw Pac;Papua New Guinea;-5.58;150.52;742;Caldera;Historical;
1914;White Island;New Zealand;New Zealand;-37.52;177.18;321;Stratovolcano;Historical;11
1916;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;
1916;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;Historical;
1917;Lengai, Ol Doinyo;Africa-E;Tanzania;-2.751;35.902;2890;Stratovolcano;Historical;
1917;Okataina;New Zealand;New Zealand;-38.12;176.5;1111;Lava Dome;Historical;2
1917;San Salvador;El Salvador;El Salvador;13.736;-89.286;1893;Stratovolcano;Historical;325
1918;Banua Wuhu;Sangihe Is-Indonesia;Indonesia;3.138;125.491;-5;Submarine Volcano;Historical;
1918;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;
1919;Popocatepetl;Mexico;Mexico;19.023;-98.622;5426;Stratovolcano;Historical;
1919;Banua Wuhu;Sangihe Is-Indonesia;Indonesia;3.138;125.491;-5;Submarine Volcano;Historical;
1919;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;5110
1919;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;Historical;4
1919;Mauna Loa;Hawaiian Is;United States;19.475;-155.608;4170;Shield Volcano;Historical;
1920;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;33
1920;Izalco;El Salvador;El Salvador;13.813;-89.633;1950;Stratovolcano;Historical;
1923;Papandayan;Java;Indonesia;-7.32;107.73;2665;Stratovolcano;Historical;1
1923;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield Volcano;Historical;1
1924;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;1
1926;Tokachi;Hokkaido-Japan;Japan;43.42;142.68;2077;Stratovolcano;Historical;146
1927;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;
1927;Esjufjoll;Iceland-Se;Iceland;64.27;-16.65;1760;Stratovolcano;Historical;1
1928;Santorini;Greece;Greece;36.404;25.396;329;Shield Volcano;Historical;48
1928;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;
1928;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;Historical;
1928;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex Volcano;Historical;40
1928;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;226
1928;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;5
1929;Komaga-Take;Hokkaido-Japan;Japan;42.07;140.68;1140;Stratovolcano;Historical;2
1929;Santa Maria;Guatemala;Guatemala;14.756;-91.552;3772;Stratovolcano;Historical;200
1930;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;Historical;
1930;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;6
1930;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;Historical;6
1930;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;1369
1931;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;3
1932;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;
1932;Kusatsu-Shirane;Honshu-Japan;Japan;36.62;138.55;2176;Stratovolcano;Historical;2
1933;Kharimkotan;Kuril Is;Russia;49.12;154.508;1145;Stratovolcano;Historical;2
1933;Kuchinoerabu-Jima;Ryukyu Is;Japan;30.43;130.22;649;Stratovolcano;Historical;8
1933;Bulusan;Luzon-Philippines;Philippines;12.77;124.05;1565;Stratovolcano;Historical;9
1936;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;2
1937;Llaima;Chile-C;Chile;-38.692;-71.729;3125;Stratovolcano;Historical;3
1937;Rabaul;New Britain-Sw Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic Shield;Historical;507
1938;Nyamuragira;Africa-C;Congo, Drc;-1.408;29.2;3058;Shield Volcano;Historical;
1938;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;
1939;Tori-Shima;Izu Is-Japan;Japan;30.48;140.32;403;Stratovolcano;Historical;2
1939;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex Volcano;Historical;10
1940;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;1
1940;Miyake-Jima;Izu Is-Japan;Japan;34.08;139.53;815;Stratovolcano;Historical;11
1940;Lengai, Ol Doinyo;Africa-E;Tanzania;-2.751;35.902;2890;Stratovolcano;Historical;
1941;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;1
1941;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;
1943;Michoacan-Guanajuato;Mexico;Mexico;19.48;-102.25;3860;Cinder Cone;Historical;3
1943;Azul, Cerro;Galapagos;Ecuador;-0.9;-91.42;1690;Shield Volcano;Historical;1
1944;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;27
1944;Cleveland;Aleutian Is;United States;52.82;-169.95;1730;Stratovolcano;Historical;1
1944;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;Historical;1
1944;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;Historical;
1944;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex Volcano;Historical;117
1946;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;1
1946;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;6
1946;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;
1947;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;
1947;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;11
1947;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;1
1948;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex Volcano;Historical;
1948;Hibok-Hibok;Mindanao-Philippines;Philippines;9.203;124.673;1332;Stratovolcano;Historical;68
1948;Villarrica;Chile-C;Chile;-39.42;-71.93;2847;Stratovolcano;Historical;36
1949;Purace;Colombia;Colombia;2.32;-76.4;4650;Stratovolcano;Historical;17
1950;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;6
1950;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;1
1951;Lamington;New Guinea;Papua New Guinea;-8.95;148.15;1680;Stratovolcano;Historical;2942
1951;Cosiguina;Nicaragua;Nicaragua;12.98;-87.57;872;Stratovolcano;Historical;1000
1951;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;7
1951;Kavachi;Solomon Is-Sw Pacifi;Solomon Is.;-9.02;157.95;-20;Submarine Volcano;Historical;
1952;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine Volcano;Holocene;
1952;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine Volcano;Holocene;
1952;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine Volcano;Holocene;31
1952;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine Volcano;Holocene;
1952;Ambalatungan Group;Luzon-Philippines;Philippines;17.32;121.1;2329;Compound Volcano;Fumarolic;12
1953;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine Volcano;Holocene;
1953;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;64
1953;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine Volcano;Holocene;
1953;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;6
1953;St. Andrew Strait;Admiralty Is-Sw Paci;Papua New Guinea;-2.38;147.35;270;Complex Volcano;Historical;
1953;Sirung;Lesser Sunda Is;Indonesia;-8.51;124.148;862;Complex Volcano;Historical;5
1953;Oshima;Izu Is-Japan;Japan;34.73;139.38;758;Stratovolcano;Historical;1
1954;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;Historical;
1954;Bam;New Guinea-Ne Of;Papua New Guinea;-3.6;144.85;685;Stratovolcano;Historical;25
1954;Hibok-Hibok;Mindanao-Philippines;Philippines;9.203;124.673;1332;Stratovolcano;Historical;2
1955;Carran-Los Venados;Chile-C;Chile;-40.35;-72.07;1114;Pyroclastic Cone;Historical;2
1955;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;
1956;Bezymianny;Kamchatka;Russia;55.978;160.587;2882;Stratovolcano;Historical;
1957;Vsevidof;Aleutian Is;United States;53.13;-168.68;2149;Stratovolcano;Historical;
1957;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;6
1957;Oshima;Izu Is-Japan;Japan;34.73;139.38;758;Stratovolcano;Historical;1
1957;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;12
1958;Mahawu;Sulawesi-Indonesia;Indonesia;1.358;124.858;1324;Stratovolcano;Historical;1
1958;Kuwae;Vanuatu-Sw Pacific;Vanuatu;-16.829;168.536;-2;Caldera;Historical;
1960;Puyehue;Chile-C;Chile;-40.59;-72.117;2236;Stratovolcano;Holocene;
1961;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;1
1962;Tokachi;Hokkaido-Japan;Japan;43.42;142.68;2077;Stratovolcano;Historical;5
1962;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;5
1963;Irazu;Costa Rica;Costa Rica;9.979;-83.852;3432;Stratovolcano;Historical;40
1963;Agung;Lesser Sunda Is;Indonesia;-8.342;115.508;3142;Stratovolcano;Historical;1028
1963;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;1
1963;Agung;Lesser Sunda Is;Indonesia;-8.342;115.508;3142;Stratovolcano;Historical;120
1963;Villarrica;Chile-C;Chile;-39.42;-71.93;2847;Stratovolcano;Historical;
1963;Batur;Lesser Sunda Is;Indonesia;-8.242;115.375;1717;Caldera;Historical;2
1963;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;7
1964;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;1
1964;Villarrica;Chile-C;Chile;-39.42;-71.93;2847;Stratovolcano;Historical;22
1964;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex Volcano;Historical;114
1965;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;355
1966;Tinakula;Santa Cruz Is-Sw Pac;Solomon Is.;-10.38;165.8;851;Stratovolcano;Historical;
1966;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;215
1966;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;Historical;39
1966;Lengai, Ol Doinyo;Africa-E;Tanzania;-2.751;35.902;2890;Stratovolcano;Historical;
1967;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;3
1967;Lengai, Ol Doinyo;Africa-E;Tanzania;-2.751;35.902;2890;Stratovolcano;Historical;
1967;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;3
1967;Deception Island;Antarctica;Antarctica;-62.97;-60.65;576;Caldera;Historical;
1968;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;372
1968;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;6
1968;Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657;Stratovolcano;Historical;80
1969;Iya;Lesser Sunda Is;Indonesia;-8.88;121.63;637;Stratovolcano;Historical;2
1969;Didicas;Luzon-N Of;Philippines;19.077;122.202;244;Compound Volcano;Historical;3
1970;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;
1971;Hudson, Cerro;Chile-S;Chile;-45.9;-72.97;1905;Stratovolcano;Historical;3
1971;Tinakula;Santa Cruz Is-Sw Pac;Solomon Is.;-10.38;165.8;851;Stratovolcano;Historical;
1971;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;10
1971;La Palma;Canary Is;Spain;28.58;-17.83;2426;Stratovolcano;Historical;
1971;Villarrica;Chile-C;Chile;-39.42;-71.93;2847;Stratovolcano;Historical;15
1972;Fournaise, Piton De La;Indian O-W;Reunion;-21.229;55.713;2631;Shield Volcano;Historical;3
1972;Ritter Island;New Guinea-Ne Of;Papua New Guinea;-5.52;148.121;140;Stratovolcano;Historical;
1973;Vestmannaeyjar;Iceland-S;Iceland;63.43;-20.28;279;Submarine Volcano;Historical;1
1973;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;
1973;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;12
1973;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex Volcano;Historical;2
1974;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;4
1974;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;3
1974;Niigata-Yake-Yama;Honshu-Japan;Japan;36.92;138.03;2400;Lava Dome;Historical;3
1974;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;5
1974;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;
1974;Ritter Island;New Guinea-Ne Of;Papua New Guinea;-5.52;148.121;140;Stratovolcano;Historical;
1975;Marapi;Sumatra;Indonesia;-0.381;100.473;2891;Complex Volcano;Historical;80
1975;Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657;Stratovolcano;Historical;2
1975;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;2
1976;Sangay;Ecuador;Ecuador;-2.03;-78.33;5230;Stratovolcano;Historical;2
1976;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;119
1976;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;1
1977;Nyiragongo;Africa-C;Congo, Drc;-1.52;29.25;3470;Stratovolcano;Historical;
1977;Karthala;Indian O-W;Comoros;-11.75;43.38;2361;Shield Volcano;Historical;
1977;Krafla;Iceland-Ne;Iceland;65.73;-16.78;650;Caldera;Historical;
1977;Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835;Stratovolcano;Historical;1
1978;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;Historical;3
1978;Bulusan;Luzon-Philippines;Philippines;12.77;124.05;1565;Stratovolcano;Historical;
1978;Santa Maria;Guatemala;Guatemala;14.756;-91.552;3772;Stratovolcano;Historical;1
1979;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex Volcano;Historical;149
1979;Karkar;New Guinea-Ne Of;Papua New Guinea;-4.649;145.964;1839;Stratovolcano;Historical;2
1979;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;9
1979;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;3
1980;St. Helens;Us-Washington;United States;46.2;-122.18;2549;Stratovolcano;Historical;57
1980;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;
1981;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;
1981;Alaid;Kuril Is;Russia;50.858;155.55;2339;Stratovolcano;Historical;
1981;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;200
1981;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;
1982;Chichon, El;Mexico;Mexico;17.36;-93.228;1150;Tuff Cone;Historical;1879
1982;Chichon, El;Mexico;Mexico;17.36;-93.228;1150;Tuff Cone;Historical;33
1982;Galunggung;Java;Indonesia;-7.25;108.05;2168;Stratovolcano;Historical;68
1982;Chichon, El;Mexico;Mexico;17.36;-93.228;1150;Tuff Cone;Historical;1
1983;Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835;Stratovolcano;Historical;1
1983;Colo [Una Una];Sulawesi-Indonesia;Indonesia;-0.17;121.608;507;Stratovolcano;Historical;
1983;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex Volcano;Historical;
1983;Miyake-Jima;Izu Is-Japan;Japan;34.08;139.53;815;Stratovolcano;Historical;
1984;San Joaquin;Africa-W;Equatorial Guinea;3.35;8.63;2009;Shield Volcano;Holocene;37
1984;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;1
1985;Ruiz;Colombia;Colombia;4.895;-75.322;5321;Stratovolcano;Historical;23080
1986;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;Historical;1
1986;Oku Volc Field;Africa-W;Cameroon;6.25;10.5;3011;Maar;Radiocarbon;1700
1986;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;1
1986;Oshima;Izu Is-Japan;Japan;34.73;139.38;758;Stratovolcano;Historical;1
1987;Pacaya;Guatemala;Guatemala;14.381;-90.601;2552;Complex Volcano;Historical;
1987;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;2
1987;Sirung;Lesser Sunda Is;Indonesia;-8.51;124.148;862;Complex Volcano;Historical;125
1988;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;4
1988;Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657;Stratovolcano;Historical;1
1988;Lonquimay;Chile-C;Chile;-38.377;-71.58;2865;Stratovolcano;Historical;1
1990;Shiveluch;Kamchatka;Russia;56.653;161.36;3283;Stratovolcano;Historical;
1990;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;32
1990;Sabancaya;Peru;Peru;-15.78;-71.85;5967;Stratovolcano;Historical;
1990;Santa Maria;Guatemala;Guatemala;14.756;-91.552;3772;Stratovolcano;Historical;4
1990;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex Volcano;Historical;43
1991;Pinatubo;Luzon-Philippines;Philippines;15.13;120.35;1486;Stratovolcano;Historical;450
1991;Karthala;Indian O-W;Comoros;-11.75;43.38;2361;Shield Volcano;Historical;
1991;Hudson, Cerro;Chile-S;Chile;-45.9;-72.97;1905;Stratovolcano;Historical;
1991;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580;Stratovolcano;Historical;1
1991;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;
1992;Negro, Cerro;Nicaragua;Nicaragua;12.506;-86.702;728;Cinder Cone;Historical;2
1992;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;6
1992;Pinatubo;Luzon-Philippines;Philippines;15.13;120.35;1486;Stratovolcano;Historical;6
1992;Spurr;Alaska-Sw;United States;61.3;-152.25;3374;Stratovolcano;Historical;
1993;Galeras;Colombia;Colombia;1.22;-77.37;4276;Complex Volcano;Historical;9
1993;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;75
1993;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;1
1993;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;Historical;1
1993;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex Volcano;Historical;1
1994;Yasur;Vanuatu-Sw Pacific;Vanuatu;-19.52;169.425;361;Stratovolcano;Historical;3
1994;Marapi;Sumatra;Indonesia;-0.381;100.473;2891;Complex Volcano;Historical;1
1994;Rabaul;New Britain-Sw Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic Shield;Historical;
1994;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;60
1995;Fogo;Cape Verde Is;Cape Verde;14.95;-24.35;2829;Stratovolcano;Historical;
1996;Karymsky;Kamchatka;Russia;54.05;159.43;1536;Stratovolcano;Historical;
