Year;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;TOTAL_DEATHS
1357;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;
1362;Oraefajokull;Iceland-Se;Iceland;64;-16.65;2119;Stratovolcano;Historical;220
1376;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;
1385;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;
1389;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;
1410;Nasu;Honshu-Japan;Japan;37.12;139.97;1917;Stratovolcano;Historical;180
1452;Kuwae;Vanuatu-Sw Pacific;Vanuatu;-16.829;168.536;-2;Caldera;Historical;
1471;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;
1477;Bardarbunga;Iceland-Ne;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;
1485;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;1
1500;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;
1510;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;1
1536;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;1
1538;Campi Flegrei;Italy;Italy;40.827;14.139;458;Caldera;Historical;24
1540;Augustine;Alaska-Sw;United States;59.37;-153.42;1252;Lava Dome;Historical;
1550;Dukono;Halmahera-Indonesia;Indonesia;1.68;127.88;1185;Complex Volcano;Historical;
1564;Gamkonora;Halmahera-Indonesia;Indonesia;1.375;127.52;1635;Stratovolcano;Historical;
1565;Pacaya;Guatemala;Guatemala;14.381;-90.601;2552;Complex Volcano;Historical;
1566;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield Volcano;Historical;
1570;Mombacho;Nicaragua;Nicaragua;11.826;-85.968;1344;Stratovolcano;Holocene;400
1576;Colima;Mexico;Mexico;19.514;-103.62;3850;Stratovolcano;Historical;
1580;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure Vent;Historical;10
1580;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;
1581;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;
1586;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;10000
1587;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;
1593;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;
1595;Ruiz;Colombia;Colombia;4.895;-75.322;5321;Stratovolcano;Historical;636
1596;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;
1597;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;
1597;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;
1598;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;800
1598;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;
1600;Huaynaputina;Peru;Peru;-16.608;-70.85;4850;Stratovolcano;Historical;1400
1606;Hachijo-Jima;Izu Is-Japan;Japan;33.13;139.77;854;Stratovolcano;Historical;
1608;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;
1609;Tengchong;China-S;China;25.32;98.47;2865;Pyroclastic Cone;Historical;
1615;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;
1617;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;
1625;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;
1629;Grimsvotn;Iceland-Ne;Iceland;64.42;-17.33;1725;Caldera;Historical;4
1630;Furnas;Azores;Portugal;37.77;-25.32;805;Stratovolcano;Historical;200
1631;Dama Ali;Africa-Ne;Ethiopia;11.28;41.63;1068;Shield Volcano;Historical;50
1631;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;4000
1636;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;
1638;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;1000
1640;Komaga-Take;Hokkaido-Japan;Japan;42.07;140.68;1140;Stratovolcano;Historical;700
1646;Makian;Halmahera-Indonesia;Indonesia;0.32;127.4;1357;Stratovolcano;Historical;
1650;Santorini;Greece;Greece;36.404;25.396;329;Shield Volcano;Historical;120
1659;San Salvador;El Salvador;El Salvador;13.736;-89.286;1893;Stratovolcano;Historical;
1659;Teon;Banda Sea;Pacific Ocean;-6.92;129.125;655;Stratovolcano;Historical;
1660;Teon;Banda Sea;Pacific Ocean;-6.92;129.125;655;Stratovolcano;Historical;3
1660;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;
1660;Long Island;New Guinea-Ne Of;Papua New Guinea;-5.358;147.12;1280;Complex Volcano;Historical;2000
1663;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;Historical;5
1664;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex Volcano;Historical;30
1664;Iwo-Tori-Shima;Ryukyu Is;Japan;27.85;128.25;217;Complex Volcano;Historical;1
1669;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;
1670;Aoba;Vanuatu-Sw Pacific;Vanuatu;-15.4;167.83;1496;Shield Volcano;Historical;
1672;Fayal;Azores;Portugal;38.6;-28.73;1043;Stratovolcano;Historical;3
1672;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;3000
1673;Gamkonora;Halmahera-Indonesia;Indonesia;1.375;127.52;1635;Stratovolcano;Historical;
1677;La Palma;Canary Is;Spain;28.58;-17.83;2426;Stratovolcano;Historical;1
1679;Zukur;Red Sea;Yemen;14.02;42.75;624;Shield Volcano;Holocene;
1682;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;4
1684;Grimsvotn;Iceland-Ne;Iceland;64.42;-17.33;1725;Caldera;Historical;1
1690;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;
1690;Guntur;Java;Indonesia;-7.13;107.83;2249;Complex Volcano;Historical;
1692;Serua;Banda Sea;Pacific Ocean;-6.3;130;641;Stratovolcano;Historical;
1693;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;
1693;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;
1694;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;
1698;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;
1698;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;
1698;Cereme;Java;Indonesia;-6.892;108.4;3078;Stratovolcano;Historical;
