"date","ScatRed3000","ScatGreen3000","ScatBlue3000","BackRed3000","BackGreen3000","BackBlue3000","SampleT3000","EnclosureT3000","RH3000","Pressure3000","Angstrom3000","ScatRed4000","ScatGreen4000","ScatBlue4000","BackRed4000","BackGreen4000","BackBlue4000","SampleT4000","EnclosureT4000","RH4000","Pressure4000","Angstrom4000"
2023-01-09 00:05:00,49.21671082484,54.3235267838925,66.385554484767,13.3878306559629,8.71953786454974,10.3025920645804,26.242,24.226,40.9994,1002.465,0.855497053723937,35.892037941439,49.5056886032733,65.1269105762214,6.67087709746838,8.47069294802297,10.6712017463463,24.26,24.366,40.293,1002.162,1.72861849424093
2023-01-09 00:10:00,48.7993083274476,54.0742031571951,66.1068095741376,13.2984440581967,8.67140525510736,10.2299984071176,26.212,24.395,41.0114,1002.422,0.86832099123995,35.7734733150366,49.5129919258354,65.2171993896818,6.7172972054056,8.5207610346884,10.6545295946091,24.317,24.501,40.179,1002.162,1.74242399910405
2023-01-09 00:15:00,48.2292324710415,53.5764128603671,65.5872627981313,13.1142631758872,8.55634489375493,10.1982590634487,26.263,24.568,41.0524,1002.446,0.879606041992317,35.0189045693717,48.4262596999191,63.7610588881012,6.55351265921072,8.28548097455656,10.4094268615891,24.349,24.642,40.351,1002.229,1.73872366395051
2023-01-09 00:20:00,46.6593964557305,51.7688161541143,63.3790776663477,12.6807440498007,8.28170928243709,9.82968197009626,26.324,24.557,41.0554,1002.501,0.876127744588902,33.8133365105305,46.516382635829,61.1046573005059,6.32533937913401,7.9419128834113,10.0066780881251,24.404,24.545,40.179,1002.28,1.71666975421219
2023-01-09 00:25:00,44.7452008562681,49.4792092714972,60.5349641701572,12.112943009034,7.92127969004608,9.35728171526636,26.31,24.238,41.1414,1002.493,0.864220139882508,32.3836087721586,44.560959891722,58.5110324798937,6.12759648854312,7.63306456903169,9.62530433318959,24.422,24.362,40.291,1002.263,1.71624730165734
2023-01-09 00:30:00,44.1724677220826,49.7808975100263,56.3127388457447,11.6722046192182,7.28584884442133,7.28917268057299,26.275,24.033,41.2174,1002.449,0.702146131130921,31.4167592508715,43.048745119481,56.4536762785758,5.91846421049862,7.37467297399744,9.31224575387219,24.443,24.27,40.321,1002.128,1.70008348170473
2023-01-09 00:35:00,48.6965512144757,40.5693305200802,43.9371582711053,11.3707014999495,5.62220480438854,6.29354591009483,26.217,24.053,41.2404,1002.365,-0.324064206630888,30.4906921432188,43.3526220376094,55.1095633303756,5.77511778198803,7.19410895009192,8.5194555147107,24.482,24.277,40.151,1002.094,1.72380881075378
2023-01-09 00:40:00,48.6620484057696,37.6605812265329,40.5792545870144,11.1104660771631,5.43835656324594,6.20719328251517,26.215,24.191,41.3204,1002.349,-0.558962453787212,33.3147238045712,37.8855217180213,45.2438824092637,5.64359520309034,5.95871980833904,7.3679658576855,24.523,24.374,40.248,1002.111,0.880575045171184
2023-01-09 00:45:00,47.2274113370166,37.2443172527357,40.3597575340135,10.8624658027162,5.46889594819598,6.21772593826697,26.195,24.357,41.2824,1002.37,-0.486750002347868,32.9640455795027,36.7575217985696,44.0823054072052,5.57030276631722,5.84804639455464,7.28856592672255,24.585,24.494,40.011,1002.026,0.833530913223621
2023-01-09 00:50:00,45.3075407693173,38.4238527113344,42.5858756385347,10.7811512690743,5.8282482708459,6.52076826500534,26.253,24.539,41.2054,1002.297,-0.206275752433167,31.6980409905193,37.8803226752108,46.6745623844132,5.57672648451672,6.22807932094941,7.61123974349259,24.585,24.637,39.768,1002.06,1.1164199937401
2023-01-09 00:55:00,43.782095906558,40.0365135792977,45.4703014550166,10.7795671239028,6.12555993636253,6.9267140307891,26.307,24.646,41.1224,1002.419,0.0875699855956375,30.9693753929577,38.8146753267636,48.7624457014663,5.60334092506469,6.524740022892,7.92998386228175,24.624,24.691,39.587,1002.162,1.31316650180385
2023-01-09 01:00:00,42.944863816405,41.0528265540317,47.3619884540705,10.779660622884,6.34058574055736,7.19826021857053,26.309,24.404,41.0404,1002.417,0.264258365337358,30.7085652479178,39.2245678212089,49.7260211030825,5.61949575924451,6.66646986618358,8.10908997774487,24.604,24.513,39.727,1002.162,1.39524904294401
2023-01-09 01:05:00,42.4589434664612,41.5509675914044,48.3317272124959,10.7235878623943,6.48201994162086,7.35515356794517,26.305,24.156,41.0864,1002.466,0.357360825552136,30.6436034539223,39.2783496274905,49.95973496137,5.60601792630305,6.68909882676608,8.21400621866927,24.557,24.409,39.865,1002.246,1.41495928653975
2023-01-09 01:10:00,42.1211246231616,41.7830702694661,48.8447556719837,10.7275735071381,6.51764070458466,7.39064782258784,26.264,24.129,41.1214,1002.474,0.411886921941775,30.4569668371013,39.1544777828376,49.9635696838962,5.57816794502958,6.66538195801224,8.21413869788419,24.487,24.392,39.92,1002.263,1.43282768989574
2023-01-09 01:15:00,41.6911008091791,41.9690608627235,49.2700473398309,10.7441754564269,6.54065526496919,7.46664811873959,26.226,24.227,41.0614,1002.555,0.467716565519052,30.2464887057086,39.201924216408,50.1673481983321,5.56102831843595,6.69768532469975,8.21212658789037,24.454,24.454,39.785,1002.263,1.46520126079125
2023-01-09 01:20:00,41.3973477783817,42.2240247890431,49.7656825121923,10.7303786585209,6.57646929861037,7.56122274419983,26.224,24.36,41.0004,1002.492,0.518060004671295,30.0442509022133,39.2806060679166,50.4282167783491,5.53394003188099,6.70593688576662,8.28548903658615,24.443,24.553,39.736,1002.145,1.50017568098582
