"date","ScatRed3000","ScatGreen3000","ScatBlue3000","BackRed3000","BackGreen3000","BackBlue3000","SampleT3000","EnclosureT3000","RH3000","Pressure3000","Angstrom3000","ScatRed4000","ScatGreen4000","ScatBlue4000","BackRed4000","BackGreen4000","BackBlue4000","SampleT4000","EnclosureT4000","RH4000","Pressure4000","Angstrom4000"
2023-01-09 06:30:00,6.59660610080879,5.97824914266484,6.7425840765162,1.85247432437331,0.979940093885461,1.03641121793988,26.326,24.325,34.968,1003.225,0.0412271747458061,3.31280583175029,5.11426774168218,6.56690178977089,1.16016452414151,1.39395359097419,1.64310907534517,23.63,24.42,39.844,1002.958,1.99827996993537
2023-01-09 06:35:00,6.4008960320812,5.80076386939715,6.53587073481035,1.79906965434139,0.949908777492255,0.983122371110865,26.302,24.52,35.003,1003.287,0.0383739344668864,3.26551353029612,4.98817076505808,6.3937584570938,1.12397363020277,1.37313575330437,1.6233955069042,23.653,24.558,39.821,1003.009,1.96168150495713
2023-01-09 06:40:00,6.27968495977154,5.64103081172307,6.34898207866546,1.75581690950778,0.921084280397526,0.947654019255147,26.308,24.599,34.926,1003.35,0.00897212498005301,3.19429116721513,4.85946876497452,6.22888683355903,1.0999031136618,1.34688734577149,1.61143490105342,23.694,24.509,39.622,1003.077,1.94948342685371
2023-01-09 06:45:00,6.18034488553605,5.50752972412154,6.19072954045447,1.71375825822042,0.891198577433746,0.931053420648174,26.342,24.306,34.961,1003.458,-0.018600916638685,3.14732683868959,4.75322169078816,6.11292201025273,1.11180082287645,1.33020986902888,1.59252023099085,23.692,24.32,39.865,1003.23,1.93689378499672
2023-01-09 06:50:00,6.1023933783737,5.419493512409,6.07892009937518,1.67260947468381,0.867852963700929,0.907703354891278,26.336,24.095,35.066,1003.55,-0.0347408144626233,3.22206410548679,4.73506696185907,6.03243366382027,1.13026825044023,1.33327759639308,1.5801808549844,23.652,24.234,40.078,1003.264,1.82884113160224
2023-01-09 06:55:00,6.00068389909618,5.34079429305442,5.98913605875001,1.64566513955739,0.853266861196201,0.879827697342386,26.273,24.112,35.174,1003.569,-0.0289178903280027,3.26393674935158,4.70981843305261,5.96444013856581,1.14016708877314,1.32781730261357,1.56484915167517,23.673,24.242,40.208,1003.315,1.75744936065034
2023-01-09 07:00:00,5.87580537369817,5.2039823126499,5.85221474716963,1.6144850411192,0.819968070917975,0.855378298002153,26.257,24.26,35.263,1003.635,-0.0357663021556539,3.32127131116332,4.65556584644232,5.85432057029346,1.13034463201794,1.30922441358971,1.56272888931412,23.712,24.324,40.229,1003.399,1.65093505932522
2023-01-09 07:05:00,5.79966836493446,5.09100629945937,5.72194544582737,1.57756160453526,0.781036811221526,0.824181904192687,26.221,24.391,35.257,1003.773,-0.064004790140357,3.33391662993645,4.59205473816962,5.73956979041889,1.14139481676745,1.29723910905685,1.55185795279728,23.772,24.361,40.004,1003.535,1.58150799865059
2023-01-09 07:10:00,5.63942883441049,4.98024841847934,5.61083973131345,1.5100995710214,0.772197436317168,0.818662038502442,26.264,24.176,35.284,1003.903,-0.0393071884743288,3.36073093834136,4.55295786721251,5.64894861467972,1.15787981515805,1.28519171900481,1.53652297746092,23.813,24.111,40.128,1003.654,1.51135733687737
2023-01-09 07:15:00,10.1441424254247,6.24126966547265,6.45562731095136,2.33154955113344,0.922444177251085,1.19563807626909,26.217,23.955,35.285,1003.974,-1.36005070324184,10.6466486282097,11.7122493097316,13.8625259950704,2.13569585447237,2.36726411001897,3.18708158344695,23.833,24.055,39.762,1003.755,0.756253320789921
