"date","RH3000","RH4000"
2023-03-15 05:55:00,18.655,17.015
2023-03-15 06:00:00,18.692,17.058
2023-03-15 06:05:00,18.715,17.077
2023-03-15 06:10:00,18.718,17.076
2023-03-15 06:15:00,18.727,17.097
2023-03-15 06:20:00,18.741,17.097
2023-03-15 06:25:00,18.727,17.097
2023-03-15 06:30:00,18.728,17.097
2023-03-15 06:35:00,18.742,17.108
2023-03-15 06:40:00,18.752,17.118
2023-03-15 06:45:00,18.749,17.118
2023-03-15 06:50:00,18.738,17.097
2023-03-15 06:55:00,18.698,17.079
2023-03-15 07:00:00,18.692,17.058
2023-03-15 07:05:00,18.635,17.019
2023-03-15 07:10:00,18.633,17.022
2023-03-15 07:15:00,18.601,16.999
2023-03-15 07:20:00,18.596,16.999
2023-03-15 07:25:00,18.577,16.982
2023-03-15 07:30:00,18.586,16.959
2023-03-15 07:35:00,18.596,16.795
2023-03-15 07:40:00,18.588,16.834
2023-03-15 07:45:00,18.624,16.896
2023-03-15 07:50:00,18.689,16.976
2023-03-15 07:55:00,18.747,17.017
2023-03-15 08:00:00,18.802,17.079
2023-03-15 08:05:00,18.875,17.179
2023-03-15 08:10:00,18.979,17.219
2023-03-15 08:15:00,19.026,17.289
2023-03-15 08:20:00,19.091,17.299
2023-03-15 08:25:00,19.005,17.198
2023-03-15 08:30:00,18.963,17.037
2023-03-15 08:35:00,19.01,17.136
2023-03-15 08:40:00,19.038,17.196
2023-03-15 08:45:00,19.1,17.278
2023-03-15 08:50:00,19.152,17.321
2023-03-15 08:55:00,19.141,17.242
2023-03-15 09:00:00,19.2,17.239
2023-03-15 09:05:00,19.285,17.36
2023-03-15 09:10:00,19.298,17.422
2023-03-15 09:15:00,19.378,17.519
2023-03-15 09:20:00,19.451,17.379
2023-03-15 09:25:00,19.521,17.459
2023-03-15 09:30:00,19.599,17.64
2023-03-15 09:35:00,19.733,17.711
2023-03-15 09:40:00,19.781,17.58
2023-03-15 09:45:00,19.871,17.784
2023-03-15 09:50:00,19.96,17.842
2023-03-15 09:55:00,19.99,17.722
2023-03-15 10:00:00,20.129,17.894
2023-03-15 10:05:00,20.105,17.86
2023-03-15 10:10:00,20.07,17.741
2023-03-15 10:15:00,20.162,17.924
2023-03-15 10:20:00,20.299,17.966
2023-03-15 10:25:00,20.261,17.883
2023-03-15 10:30:00,20.485,18.194
2023-03-15 10:35:00,20.654,18.105
2023-03-15 10:40:00,20.637,18.236
2023-03-15 10:45:00,20.704,18.124
2023-03-15 10:50:00,20.728,18.224
2023-03-15 10:55:00,20.795,18.298
2023-03-15 11:00:00,20.971,18.268
2023-03-15 11:05:00,21.075,18.506
2023-03-15 11:10:00,21.016,18.307
2023-03-15 11:15:00,21.124,18.55
2023-03-15 11:20:00,21.312,18.499
2023-03-15 11:25:00,21.622,18.701
2023-03-15 11:30:00,21.982,19.074
2023-03-15 11:35:00,22.16,18.971
2023-03-15 11:40:00,22.1,18.974
2023-03-15 11:45:00,21.917,18.729
2023-03-15 11:50:00,21.991,18.871
2023-03-15 11:55:00,21.846,18.57
2023-03-15 12:00:00,21.57,18.486
2023-03-15 12:05:00,21.617,18.63
2023-03-15 12:10:00,21.674,18.467
2023-03-15 12:15:00,21.553,18.488
2023-03-15 12:20:00,21.648,18.467
2023-03-15 12:25:00,21.535,18.447
2023-03-15 12:30:00,21.364,18.266
2023-03-15 12:35:00,21.629,18.509
2023-03-15 12:40:00,21.503,18.346
2023-03-15 12:45:00,21.498,18.437
2023-03-15 12:50:00,21.855,18.749
2023-03-15 12:55:00,22.105,18.729
2023-03-15 13:00:00,21.866,18.628
2023-03-15 13:05:00,21.861,18.555
2023-03-15 13:10:00,22.105,18.791
2023-03-15 13:15:00,22.142,18.648
2023-03-15 13:20:00,22.06,18.72
2023-03-15 13:25:00,21.991,18.717
2023-03-15 13:30:00,22.385,19.031
2023-03-15 13:35:00,22.577,18.953
2023-03-15 13:40:00,22.655,19.113
2023-03-15 13:45:00,22.795,19.134
2023-03-15 13:50:00,22.996,19.153
2023-03-15 13:55:00,22.85,19.194
2023-03-15 14:00:00,22.814,18.995
2023-03-15 14:05:00,22.776,19.178
2023-03-15 14:10:00,22.8,18.91
2023-03-15 14:15:00,22.77,19.095
2023-03-15 14:20:00,22.9,19.084
2023-03-15 14:25:00,23.056,19.343
2023-03-15 14:30:00,23.578,19.597
2023-03-15 14:35:00,24.185,20.026
2023-03-15 14:40:00,24.722,20.388
2023-03-15 14:45:00,25.153,20.459
2023-03-15 14:50:00,25.285,20.587
2023-03-15 14:55:00,25.517,20.731
2023-03-15 15:00:00,25.507,20.841
2023-03-15 15:05:00,25.867,20.901
2023-03-15 15:10:00,25.795,20.901
2023-03-15 15:15:00,26.452,21.293
2023-03-15 15:20:00,26.94,21.639
2023-03-15 15:25:00,27.352,21.79
2023-03-15 15:30:00,27.84,22.136
2023-03-15 15:35:00,28.194,22.182
2023-03-15 15:40:00,28.712,22.578
2023-03-15 15:45:00,29.009,22.754
2023-03-15 15:50:00,29.321,22.77
