"date","ScatRed3000","ScatGreen3000","ScatBlue3000","BackRed3000","BackGreen3000","BackBlue3000","SampleT3000","EnclosureT3000","RH3000","Pressure3000","Angstrom3000","ScatRed4000","ScatGreen4000","ScatBlue4000","BackRed4000","BackGreen4000","BackBlue4000","SampleT4000","EnclosureT4000","RH4000","Pressure4000","Angstrom4000"
2023-03-14 17:20:00,11.7924251707796,10.1611247083734,10.572824066142,1.57636121470156,1.43648690973509,1.76619062858464,26.805,25.085,16.474,1002.262,-0.334907289549692,9.69860852103957,8.65446702663632,9.82713872306457,2.26383247630148,1.70284374558872,2.47917263868137,24.298,24.696,16.432,999.11,0.0137445274079947
2023-03-14 17:25:00,11.1593324853822,10.2727828892088,10.7250814535746,1.45893597184387,1.39014963704971,1.62202615272679,26.729,25.205,16.683,1002.601,-0.127550480625434,9.64250645471157,9.0981560486025,10.1641653469478,2.22501144517153,1.62652201426187,2.32328738493345,24.255,24.598,16.501,999.042,0.135370889180962
2023-03-14 17:30:00,11.420319924046,10.6963482518554,11.3847208579213,1.56936796974328,1.59600504985208,1.72586081538246,26.76,25.282,16.802,1002.324,-0.0219503322121618,9.62315093355944,9.18618523619472,10.2249984197125,2.21435536450023,1.56528210710933,2.34019609807601,24.219,24.472,16.554,999.245,0.159994426205991
2023-03-14 17:35:00,10.7990656592064,11.5653351941544,12.3713382734621,1.6326868911939,1.61159848131444,1.69595212083228,26.755,25.127,16.933,1002.273,0.393372184482039,9.5766307242147,9.4646346324781,10.4872333804446,2.20208126612396,1.56298098888798,2.29369667719578,24.156,24.629,16.572,999.093,0.251244584008737
2023-03-14 17:40:00,10.8677407265819,11.9274617577719,12.8663340315411,1.71248832351355,2.08650553999058,1.9366766847253,26.732,24.968,17.017,1002.262,0.490162836589886,9.59794865367233,9.70639367254552,10.6945222443969,2.170934730095,1.57274122541199,2.27799150122831,24.113,24.613,16.574,999.059,0.304334492681276
2023-03-14 17:45:00,10.9373045151114,12.2746696774101,13.1157234972873,1.73571737259045,1.85890447512085,1.9088451923629,26.712,24.896,16.974,1002.24,0.530459113011908,9.58820224680065,9.91953019353166,10.8820623152748,2.19951979929852,1.55610783593122,2.28560236043514,24.093,24.549,16.554,999.042,0.360304938300456
2023-03-14 17:50:00,11.0207451511522,12.5993479395353,13.5203363286792,1.73226757243649,1.69897607520837,1.89317647570573,26.675,24.882,17.027,1002.186,0.597813201098444,9.93943767958239,10.0825432892883,11.0259992079588,2.21401014212584,1.56172699457032,2.30120196726439,24.092,24.534,16.554,998.974,0.292564725367458
2023-03-14 17:55:00,11.896507099254,13.3317859187032,14.0420151717488,1.83874873718945,1.66452812660481,1.88313615389891,26.66,24.943,17.028,1002.164,0.485984170038602,10.2183071437773,10.2816465517905,11.23997532584,2.28133502669489,1.62574092613525,2.32989755266227,24.097,24.663,16.572,998.991,0.267331332807974
2023-03-14 18:00:00,11.5217972502743,13.3801452337685,14.2290255263848,1.86861264638722,1.80092537119148,1.86861264638722,26.659,25.087,16.953,1002.213,0.619484399100837,10.2042149506151,10.3874635961545,11.3931948465614,2.27369285657188,1.63352690666329,2.35095426431947,24.113,24.893,16.529,999.008,0.311337420850752
2023-03-14 18:05:00,11.8928527946622,12.8595172317768,13.9612721634093,1.90209442603352,1.80554704268176,2.09740867281409,26.696,25.234,16.843,1002.235,0.463514859208396,10.2127106401306,10.4164498169376,11.5074151879182,2.28597188970038,1.64355970244513,2.33674673611574,24.136,24.987,16.354,999.025,0.337261694464789
2023-03-14 18:10:00,12.4218321483355,12.4516837357308,13.569095580417,2.11454813260644,1.64501854725603,2.07569816691551,26.757,25.14,16.792,1002.205,0.247143984216783,10.3445209661241,10.5819752382552,11.6777528717524,2.29198465527972,1.63287346105911,2.38251584108557,24.195,24.851,16.27,999.008,0.343077565952316
2023-03-14 18:15:00,13.4962190159982,12.5870994892728,13.5344201203376,2.12003172211993,1.71156487722981,1.99571572584903,26.75,24.994,16.8,1002.213,-0.00619872651390112,10.3940196887154,10.5835379325202,11.748097973441,2.29853066074318,1.63281789012448,2.44315482815785,24.195,24.764,16.27,999.042,0.345583327900338
2023-03-14 18:20:00,13.2833563135081,12.742540898871,13.7809443287051,1.95580794566839,1.78819897870135,2.11897694000054,26.762,24.904,16.787,1002.227,0.0942836061094319,10.4881533855499,10.6241893933919,11.8267748962394,2.32494756739647,1.6283464681433,2.49054212347884,24.195,24.716,16.27,999.076,0.337999497411662
2023-03-14 18:25:00,14.2588087880804,12.9723534879675,13.8218134364288,2.09184201645796,1.78888558648819,2.14732854209345,26.703,24.855,16.743,1002.267,-0.106017072366828,10.5674329949202,10.6753321596426,11.9141607657413,2.34694885134429,1.64816304565241,2.53130466422035,24.175,24.719,16.212,999.042,0.336976662164776
2023-03-14 18:30:00,14.2658763595462,13.0694594790462,14.0270802683015,2.05063204336356,1.76656180359025,2.17935137076084,26.708,24.918,16.511,1002.357,-0.0648323803484418,10.5643242385697,10.8334875178617,12.1154977703146,2.35879521456062,1.66340869833545,2.54643919512932,24.173,24.824,16.071,999.161,0.387619848965454
2023-03-14 18:35:00,14.5185301503294,13.4862051492393,15.1357667124851,2.15608848813898,1.87978069938622,2.38689981368345,26.724,25.072,16.378,1002.392,0.101348520572263,10.6230956234128,11.0771207120427,12.4453161622324,2.36334501301115,1.70213825785296,2.57969981102618,24.195,25.007,16.05,999.178,0.4504970450571
