"date","ScatRed3000","ScatGreen3000","ScatBlue3000","PM10S_1S","PM1"
2023-01-09,15.9280095282783,15.8159525143194,18.4254717415126,3.88716065366019,0.634207331436883
2023-01-10,17.8332699264892,18.1329147654838,21.1465305629539,6.36617479684269,3.12715275008143
2023-01-11,13.7129599825229,15.0419324135821,17.8644541015328,2.25800565634313,1.90376038002723
2023-01-12,7.81463376634102,10.9287654455457,13.8764966870459,9.50290781103712,3.26193323909945
2023-01-13,29.7529700863543,39.5474243232969,49.2954799250557,7.41017592119226,5.34584926517256
2023-01-16,6.72631455526029,7.88870891468151,8.88925337743035,5.64517104841498,3.08138481058553
2023-01-17,12.831753550858,12.6276682834687,12.4950373116104,2.48326033904847,11.8453299446305
2023-01-23,9.90012106128806,12.5886969835918,15.3394784619471,8.21760600164887,6.52658677641
2023-01-24,36.5001105027282,62.6350972762207,81.500182327635,7.40178460965399,6.15986665700426
2023-01-25,22.0949604912669,38.6142629064554,51.4880581964525,7.54233684227668,3.71403724907621
2023-01-26,21.1633225715019,38.8714289482158,52.9048476703104,7.24877975928228,8.27879600925764
2023-01-27,24.8551606225222,44.5499246685417,59.8558453886345,7.69451610838466,10.9003508644789
2023-01-30,19.5370184024362,35.3985426439435,47.974954093075,7.41251298647271,8.33378625649974
2023-01-31,22.6030783877813,39.5252585462336,52.7596881705986,8.49001588063905,11.9722690242822
2023-02-01,31.8514837741042,57.3000074519261,77.8021847965489,9.6057647187289,15.2604100497894
2023-02-02,45.2990639551956,83.1379605363801,112.748936138293,11.0891988292804,12.9438986962456
2023-02-03,25.8729370329984,46.7769152035446,63.3309144826026,11.2489548173688,13.364138805835
2023-02-07,28.9513304562145,36.7314320888421,46.6812144718474,6.27747535613429,6.25124571925536
2023-02-08,21.3410801628721,26.2358338879553,32.5581871111413,6.93933285473983,5.31689928101033
2023-02-09,25.2327381160181,30.9552773802188,38.4238342040727,8.55615185734379,7.16228467815062
2023-02-10,25.5100269805438,31.6380424043837,39.4247675150801,12.4796850904401,6.59841758772722
2023-02-13,25.3392401141864,33.7786360283813,44.2901883601706,6.7807210213439,6.66062528319022
2023-02-14,21.622216508889,26.5385989311088,33.3884852671669,11.5633969191562,5.53448620007621
2023-02-15,28.8975246951119,35.9686092318562,45.1353423912865,12.5326278901518,7.08390729597151
2023-02-16,35.2115764778311,45.9907623591942,59.490852694623,9.9624754622118,9.63862702441407
2023-02-17,41.4475948071097,55.0312150515921,71.4379917921998,12.1226052192854,10.7571719515807
2023-02-20,44.4410688532606,58.4695673500601,75.2484940916864,13.374275484907,10.7228726424781
2023-02-21,60.8864277951436,79.0881858069911,100.920716518513,28.1816350630458,10.7852378190252
2023-02-22,93.8574226234415,107.85765418696,126.413949145576,52.1273192193608,16.7216502320184
